stage,noise_pct,oversubtraction,spectral_floor,n_recordings,n_snr,n_crackle_recordings,n_wheeze_recordings,cycle_gap_snr_proxy_db,cycle_gap_snr_proxy_db_min,cycle_correlation,cycle_correlation_p10,cycle_correlation_min,crackle_correlation,crackle_correlation_p10,crackle_correlation_min,wheeze_correlation,wheeze_correlation_p10,wheeze_correlation_min,musical_noise_ratio,musical_noise_ratio_p90,musical_noise_ratio_max,spectral_distortion_db,spectral_distortion_db_p90,snr_proxy_delta_db,cumple_restricciones
agresividad,15,0.5,0.01,117,103,73,19,1.898849341006569,-7.126465033884535,0.9992377765065891,0.9987945039718933,0.9943657346566741,0.999290404892929,0.9988374793256349,0.9968559967152776,0.9990707183980253,0.9985313158080004,0.9962445695487023,1.0385950328201228,1.0654326693565601,1.293034001523302,2.4203978191564097,2.7178191975379504,0.7753876585675945,True
agresividad,15,1.0,0.01,117,103,73,19,2.002214150901577,-7.225812816728411,0.9972291430023125,0.995810842874793,0.9650770400309833,0.997564681631969,0.9959325804594866,0.9867128499816517,0.996439058215444,0.9949528538405369,0.9792454029857677,1.0805287955836944,1.1374828563277208,1.7340562055110103,3.6075175873039838,3.932136663185025,1.5537604867573431,True
agresividad,15,1.5,0.01,117,103,73,19,2.104416876846307,-7.320151117120485,0.9942731453274029,0.9915554962947931,0.907998834757907,0.9951336468176107,0.9917087333297587,0.9674881442181354,0.9926226424175882,0.9899718770480418,0.9510082667967604,1.1237387401934074,1.2123388533452781,2.211559743618446,4.594805671200502,5.05492821510043,2.2952208271250703,True
agresividad,15,2.0,0.01,117,103,73,19,2.1943991773952716,-7.409532167976459,0.990996675083803,0.9863489137312172,0.8695221877956936,0.9922036141494385,0.9864796297180866,0.9411198580059227,0.9888284209302158,0.9841443945219821,0.9312328603526727,1.1655547099543424,1.2898978388749833,2.4777644367997183,5.467493244568933,5.985777542079009,3.041072140302679,True
agresividad,15,3.0,0.01,117,103,73,19,2.351675941127526,-7.579892795689423,0.9843002780102997,0.9743622783252137,0.8475937213598042,0.9857771576632219,0.9740287166791728,0.8972129258020468,0.9818214221950935,0.9702681919993554,0.9200241297526468,1.2458300282051205,1.4425966427041108,2.6667910709064886,6.97190457999437,7.607133483335629,4.489515518822436,True
agresividad,15,4.0,0.01,117,103,73,19,2.4829191969345397,-7.7371210690901036,0.9774752867621083,0.9608341637808931,0.8410122505963212,0.9790512362477389,0.9613836085579278,0.870309762914698,0.974693376531735,0.9557857289093792,0.916126752466134,1.324543031572763,1.6083232349138112,2.748718432009589,8.252733266836735,8.820138066934906,5.82127793228842,True
agresividad,15,4.5,0.01,117,103,73,19,2.5440668611285964,-7.8096463581822695,0.9740457145372519,0.9542456465830532,0.8388666090960677,0.9756237170121076,0.9552697204889743,0.8595917796699845,0.9711061765989871,0.9489968427332509,0.9146008702594874,1.3637215053156184,1.6932888538941313,2.779344546980472,8.825542990636809,9.391880763956445,6.514347685903632,True
agresividad,15,5.0,0.01,117,103,73,19,2.602529129734339,-7.879416766352364,0.9706206199643322,0.9473507680675006,0.8369466432568009,0.9721970787791187,0.949134423102102,0.8514528998110413,0.9675142324083971,0.942852352861604,0.9132224642070557,1.4028388419606286,1.7805038235040604,2.8063263240628156,9.361317990357108,9.867315672564631,7.170213379204662,True
agresividad,20,0.5,0.01,117,103,73,19,1.9336253048435843,-7.1675330129503765,0.9986621188225362,0.9979029050706136,0.9929864751382143,0.9987219740844338,0.9979384890557179,0.9952867412879375,0.9984293686628916,0.9974398445472763,0.9953755515890612,1.0540009039496876,1.0890906185771723,1.3293475163182567,2.9254905140186898,3.2301126901502704,1.1002656699847277,True
agresividad,20,1.0,0.01,117,103,73,19,2.0684572257795213,-7.304080713684167,0.995352636527648,0.9927360181267022,0.9561197636480726,0.9957469264992439,0.9929460736549865,0.9795464851593702,0.9943336403178339,0.9914926886558317,0.9744558899351523,1.112540824774852,1.1937459707248201,1.8349848147897183,4.402515134837305,4.823834302818213,2.185428601719068,True
